Time:2017-11-13 14:00:29:812-Trace>>Socket connect status: TotalCount=29, CurrentCount=1, CloseCount=28, RejectedCount=0


Time:2017-11-13 14:01:29:825-Trace>>Socket connect status: TotalCount=29, CurrentCount=1, CloseCount=28, RejectedCount=0


Time:2017-11-13 14:02:29:840-Trace>>Socket connect status: TotalCount=29, CurrentCount=1, CloseCount=28, RejectedCount=0


Time:2017-11-13 14:03:29:852-Trace>>Socket connect status: TotalCount=29, CurrentCount=1, CloseCount=28, RejectedCount=0


Time:2017-11-13 14:04:29:867-Trace>>Socket connect status: TotalCount=29, CurrentCount=1, CloseCount=28, RejectedCount=0


Time:2017-11-13 14:05:29:880-Trace>>Socket connect status: TotalCount=29, CurrentCount=1, CloseCount=28, RejectedCount=0


Time:2017-11-13 14:06:29:894-Trace>>Socket connect status: TotalCount=29, CurrentCount=1, CloseCount=28, RejectedCount=0


Time:2017-11-13 14:07:29:907-Trace>>Socket connect status: TotalCount=29, CurrentCount=1, CloseCount=28, RejectedCount=0


Time:2017-11-13 14:08:29:922-Trace>>Socket connect status: TotalCount=29, CurrentCount=1, CloseCount=28, RejectedCount=0


Time:2017-11-13 14:09:29:934-Trace>>Socket connect status: TotalCount=29, CurrentCount=1, CloseCount=28, RejectedCount=0


Time:2017-11-13 14:10:29:950-Trace>>Socket connect status: TotalCount=29, CurrentCount=1, CloseCount=28, RejectedCount=0


Time:2017-11-13 14:11:29:961-Trace>>Socket connect status: TotalCount=29, CurrentCount=1, CloseCount=28, RejectedCount=0


Time:2017-11-13 14:12:29:976-Trace>>Socket connect status: TotalCount=29, CurrentCount=1, CloseCount=28, RejectedCount=0


Time:2017-11-13 14:13:29:989-Trace>>Socket connect status: TotalCount=29, CurrentCount=1, CloseCount=28, RejectedCount=0


Time:2017-11-13 14:14:30:003-Trace>>Socket connect status: TotalCount=29, CurrentCount=1, CloseCount=28, RejectedCount=0


Time:2017-11-13 14:15:30:015-Trace>>Socket connect status: TotalCount=29, CurrentCount=1, CloseCount=28, RejectedCount=0


Time:2017-11-13 14:16:30:029-Trace>>Socket connect status: TotalCount=29, CurrentCount=0, CloseCount=29, RejectedCount=0


Time:2017-11-13 14:17:30:042-Trace>>Socket connect status: TotalCount=29, CurrentCount=0, CloseCount=29, RejectedCount=0


Time:2017-11-13 14:18:30:056-Trace>>Socket connect status: TotalCount=29, CurrentCount=0, CloseCount=29, RejectedCount=0


Time:2017-11-13 14:19:30:070-Trace>>Socket connect status: TotalCount=29, CurrentCount=0, CloseCount=29, RejectedCount=0


Time:2017-11-13 14:20:30:083-Trace>>Socket connect status: TotalCount=29, CurrentCount=0, CloseCount=29, RejectedCount=0


Time:2017-11-13 14:21:30:098-Trace>>Socket connect status: TotalCount=29, CurrentCount=0, CloseCount=29, RejectedCount=0


Time:2017-11-13 14:22:30:111-Trace>>Socket connect status: TotalCount=29, CurrentCount=0, CloseCount=29, RejectedCount=0


Time:2017-11-13 14:23:30:125-Trace>>Socket connect status: TotalCount=30, CurrentCount=0, CloseCount=30, RejectedCount=0


